Team,Season,EPA/Play,EPA/Play Against
BUF,2025,0.238,0.0728
IND,2025,0.1981,-0.0144
BAL,2025,0.1924,0.1434
DAL,2025,0.1681,0.2655
DET,2025,0.1511,-0.0892
GB,2025,0.1313,0.0109
WAS,2025,0.1245,0.0406
KC,2025,0.1217,0.0309
NE,2025,0.0796,-0.0038
MIA,2025,0.0687,0.2412
SEA,2025,0.0586,-0.1464
PIT,2025,0.0563,0.0483
DEN,2025,0.0463,-0.0822
PHI,2025,0.0312,-0.0569
ARI,2025,0.0145,-0.0218
NYJ,2025,0.008,0.1619
LAR,2025,0.0062,-0.0846
JAX,2025,0.0021,-0.1117
LAC,2025,-0.0021,-0.0793
NYG,2025,-0.0173,0.0864
SF,2025,-0.027,-0.0622
ATL,2025,-0.0416,-0.0051
TB,2025,-0.0452,-0.0371
CHI,2025,-0.0486,0.0301
CAR,2025,-0.0752,-0.0171
MIN,2025,-0.0888,-0.164
HOU,2025,-0.0919,-0.1708
OAK,2025,-0.1116,-0.0002
NO,2025,-0.1526,0.1039
CIN,2025,-0.2236,0.0648
TEN,2025,-0.2238,0.1214
CLE,2025,-0.2603,-0.051
