PLAYER,GAMEDATE,OPPONENT,POINTS,REBOUNDS,ASSISTS
Andrew Rohde,2024-11-06,Campbell Fighting Camels,1,3,5
Blake Buchanan,2024-11-06,Campbell Fighting Camels,10,7,5
Dai Dai Ames,2024-11-06,Campbell Fighting Camels,2,2,1
Elijah Saunders,2024-11-06,Campbell Fighting Camels,11,5,0
Isaac McKneely,2024-11-06,Campbell Fighting Camels,11,2,2
Ishan Sharma,2024-11-06,Campbell Fighting Camels,6,3,2
Jacob Cofie,2024-11-06,Campbell Fighting Camels,16,6,1
TJ Power,2024-11-06,Campbell Fighting Camels,3,3,1
Taine Murray,2024-11-06,Campbell Fighting Camels,5,1,0
Anthony Robinson,2024-11-11,Coppin State Eagles,2,2,0
Blake Buchanan,2024-11-11,Coppin State Eagles,4,3,1
Bryce Walker,2024-11-11,Coppin State Eagles,0,0,0
Dai Dai Ames,2024-11-11,Coppin State Eagles,13,3,3
Desmond Roberts,2024-11-11,Coppin State Eagles,0,0,0
Elijah Saunders,2024-11-11,Coppin State Eagles,15,5,1
Isaac McKneely,2024-11-11,Coppin State Eagles,14,6,3
Ishan Sharma,2024-11-11,Coppin State Eagles,0,1,3
Jacob Cofie,2024-11-11,Coppin State Eagles,11,11,2
TJ Power,2024-11-11,Coppin State Eagles,3,6,1
Taine Murray,2024-11-11,Coppin State Eagles,0,1,0
Andrew Rohde,2024-11-15,Villanova Wildcats,13,3,4
Blake Buchanan,2024-11-15,Villanova Wildcats,3,5,2
Dai Dai Ames,2024-11-15,Villanova Wildcats,8,2,1
Elijah Saunders,2024-11-15,Villanova Wildcats,5,6,2
Isaac McKneely,2024-11-15,Villanova Wildcats,23,2,2
Ishan Sharma,2024-11-15,Villanova Wildcats,1,0,0
Jacob Cofie,2024-11-15,Villanova Wildcats,12,6,2
TJ Power,2024-11-15,Villanova Wildcats,5,1,1
Andrew Rohde,2024-11-21,Tennessee Volunteers,8,1,3
Anthony Robinson,2024-11-21,Tennessee Volunteers,4,0,0
Blake Buchanan,2024-11-21,Tennessee Volunteers,6,7,1
Dai Dai Ames,2024-11-21,Tennessee Volunteers,12,2,0
Desmond Roberts,2024-11-21,Tennessee Volunteers,0,1,0
Elijah Saunders,2024-11-21,Tennessee Volunteers,3,4,0
Isaac McKneely,2024-11-21,Tennessee Volunteers,4,3,3
Ishan Sharma,2024-11-21,Tennessee Volunteers,0,0,0
Jacob Cofie,2024-11-21,Tennessee Volunteers,2,6,1
TJ Power,2024-11-21,Tennessee Volunteers,0,2,0
Taine Murray,2024-11-21,Tennessee Volunteers,3,2,1
Andrew Rohde,2024-11-22,St. John's Red Storm,11,2,1
Anthony Robinson,2024-11-22,St. John's Red Storm,1,1,0
Blake Buchanan,2024-11-22,St. John's Red Storm,6,5,2
Dai Dai Ames,2024-11-22,St. John's Red Storm,3,2,3
Elijah Saunders,2024-11-22,St. John's Red Storm,12,3,0
Isaac McKneely,2024-11-22,St. John's Red Storm,10,4,3
Ishan Sharma,2024-11-22,St. John's Red Storm,2,0,0
Jacob Cofie,2024-11-22,St. John's Red Storm,2,7,1
TJ Power,2024-11-22,St. John's Red Storm,3,0,1
Taine Murray,2024-11-22,St. John's Red Storm,5,1,1
Andrew Rohde,2024-11-26,Manhattan Jaspers,14,2,2
Blake Buchanan,2024-11-26,Manhattan Jaspers,11,5,2
Dai Dai Ames,2024-11-26,Manhattan Jaspers,10,1,5
Elijah Saunders,2024-11-26,Manhattan Jaspers,8,6,2
Isaac McKneely,2024-11-26,Manhattan Jaspers,18,5,2
Jacob Cofie,2024-11-26,Manhattan Jaspers,10,5,0
TJ Power,2024-11-26,Manhattan Jaspers,3,0,0
Taine Murray,2024-11-26,Manhattan Jaspers,0,0,2
Andrew Rohde,2024-11-29,Holy Cross Crusaders,13,1,3
Anthony Robinson,2024-11-29,Holy Cross Crusaders,2,0,0
Blake Buchanan,2024-11-29,Holy Cross Crusaders,6,6,2
Bryce Walker,2024-11-29,Holy Cross Crusaders,0,0,0
Dai Dai Ames,2024-11-29,Holy Cross Crusaders,16,3,1
Desmond Roberts,2024-11-29,Holy Cross Crusaders,2,2,0
Elijah Saunders,2024-11-29,Holy Cross Crusaders,9,6,1
Isaac McKneely,2024-11-29,Holy Cross Crusaders,13,3,3
Ishan Sharma,2024-11-29,Holy Cross Crusaders,0,4,4
Jacob Cofie,2024-11-29,Holy Cross Crusaders,6,4,0
TJ Power,2024-11-29,Holy Cross Crusaders,0,3,2
Taine Murray,2024-11-29,Holy Cross Crusaders,0,1,4
Andrew Rohde,2024-12-04,Florida Gators,4,1,3
Anthony Robinson,2024-12-04,Florida Gators,3,1,0
Blake Buchanan,2024-12-04,Florida Gators,8,5,1
Dai Dai Ames,2024-12-04,Florida Gators,7,1,2
Elijah Saunders,2024-12-04,Florida Gators,19,5,1
